SP 964,AERÓDROMO,PLX,PLATANO,DURANGO,TAMAZULA,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",LEONARDO TORRES MOTA,"1,125.00",,25,31,21.00,107,6,47.00,13/06/2003,90 DÍAS,13/09/2003,SEP,2003,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO"
SP 965,AERÓDROMO,BST,BASTANTITA,DURANGO,TAMAZULA,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",LEOCADIA ZARABIA RAMIREZ,"2,255.00",,25,24,46.00,107,3,9.00,17/12/2001,90 DÍAS,SIN AUTORIZACIÓN,MAR,2002,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE DURANGO, DURANGO"
HP 966,HELIPUERTO,HSM,HELIPUERTO SECRETARIA DE SEGURIDAD PUBLICA,NUEVO LEÓN,MONTERREY,DIURNO,"SUPERFICIE, SERVICIO PARTICULAR","PROCURADURIA GENERAL DE JUSTICIA, GOBIERNO DEL ESTADO DE NUEVO LEÓN",557.00,WGS 84,25,42,13.00,100,21,6.00,SIN AUTORIZACIÓN,,SIN AUTORIZACIÓN,ENE,2008,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MONTERREY, NUEVO LEON"
SP 967,AERÓDROMO,CED,CEDROS,ZACATECAS,MAZAPIL,DIURNO,"TERRESTRE, SERVICIO PARTICULAR ",MINERA PEÑASQUITO S.A. DE C.V.,"1,692.00",WGS 84,24,37,57.20,101,48,21.40,01/10/2015,15 AÑOS,01/10/2030,OCT,2030,SI,VIGENTE,"AEROPUERTO INTERNACIONAL DE ZACATECAS, ZACATECAS"
SP 968,AERÓDROMO,COG,CERRO DE ORTEGA,COLIMA,TECOMAN,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",MARTHA EDITH ALVAREZ DEL TORO,15.00,,18,51,23.00,103,53,6.00,16/05/2012,180 DÍAS,16/11/2012,NOV,2012,NO,EN TRÁMITE,AEROPUERTO NACIONAL DE COLIMA
SP 969,AERÓDROMO,MRB,MARABASCO,COLIMA,MANZANILLO,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",CARLOS TERRIQUEZ RODRIGUEZ,50.00,,19,13,17.00,104,31,56.00,06/04/2006,180 DÍAS,06/10/2006,OCT,2006,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MANZANILLO, COLIMA"
SP 970,AERÓDROMO,CYR,EL COLOMO Y LA ARENA,COLIMA,MANZANILLO,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",LUIS SUAREZ ALCOCER,60.00,,19,1,59.00,104,13,17.00,29/05/2001,60 DÍAS,SIN AUTORIZACIÓN,JUN,2001,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE MANZANILLO, COLIMA"
SP 971,AERÓDROMO,JPV,JUAN PERDOMO MEDINA,VERACRUZ,CUITLAHUAC,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",LUIS ARTURO PERDOMO CASTRO,442.00,,18,47,27.00,96,47,0.00,20/08/1999,180 DÍAS,SIN AUTORIZACIÓN,FEB,2000,NO,INOPERATIVO,"AEROPUERTO INTERNACIONAL DE VERACRUZ, VERACRUZ"
SP 972,AERÓDROMO,SCK,RANCHO SAN CARLOS,TAMAULIPAS,SOTO LA MARINA,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",GUILLERMO OSUNA VILLAR,140.00,WGS 84,23,30,37.00,97,57,37.00,05/12/2006,180 DÍAS,05/06/2007,JUN,2007,NO,INOPERATIVO,"AEROPUERTO DE CIUDAD VICTORIA, TAMAULIPAS"
SP 973,AERÓDROMO,ECE,EL CEDRITO,COAHUILA,CIUDAD ACUÑA,DIURNO,"TERRESTRE, SERVICIO PARTICULAR",ANTONIO MARIO FERNANDEZ QUIROGA,942.00,WGS 84,29,12,57.00,101,53,18.00,25/03/2008,5 AÑOS,25/03/2013,MAR,2013,NO,EN TRÁMITE,"AEROPUERTO INTERNACIONAL DE CIUDAD ACUÑA, COAHUILA"
